Name,Artist,Album
The Hillbillies,Baby Keem & Kendrick Lamar,The Hillbillies - Single
booman,Baby Keem,The Melodic Blue (Deluxe)
Love Sosa,Chief Keef,Finally Rich
Still D.R.E,Dr. Dre & Snoop Dogg,2001
Like That,Future & Metro Boomin & Kendrick Lamar,WE DON'T TRUST YOU
Free Lunch,Isaiah Rashad,The Sun's Tirade
m y . l i f e,J. Cole & 21 Savage & Morray,The Off-Season
Wow Freestyle,Jay Rock & Kendrick Lamar,Redmption
Gotta Have It,JAY-Z & Kanye West,Watch the Throne
We Don't Care,Kanye West,The College Dropout
Family Business,Kanye West,The College Dropout
Homecoming,Kanye West & Chris Martin,Graduation
Bittersweet Poetry,Kanye West,Graduation
We Major,Kanye West & Nas & Really Doe,Late Registration
Celebration,Kanye West,Late Registration
No More Parties in LA,Kanye West & Kendrick Lamar,The Life of Pablo
Devil In A New Dress,Kanye West & Rick Ross,My Beautiful Dark Twisted Fantasy (Deluxe Edition)
King's Dead,Kendrick Lamar & Jay Rock & Future,Black Panter: The Album
XXX.,Kendrick Lamar & U2,DAMN.
FEAR,Kendrick Lamar,DAMN.
reincarnated,Kendrick Lamar,GNX
peekaboo,Kendrick Lamar & AzChike,GNX
Backseat Freestyle,Kendrick Lamar,Good Kid m.A.A.d City (Deluxe)
Money Trees,Kendrick Lamar & Jay Rock,Good Kid m.A.A.d City (Deluxe)
Count Me Out,Kendrick Lamar,Mr Morale & The Big Steppers
A.D.H.D,Kendrick Lamar,Section.80
HiiiPower,Kendrick Lamar,Section.80
For Free? (Interlude),Kendrick Lamar,To Pimp A Butterfly
u,Kendrick Lamar,To Pimp A Butterfly
Back Again,King Von & Prince Dre & Lil Durk,Welcome To O'Block
Dark Thoughts,Lil Tecca,Dark Thoughts - Single
One Beer,MF DOOM,MM..FOOD
Doomsday,MF DOOM & Pebbles The Invisible Girl,Operation: Doomsday (Complete)
EVIL J0RDAN,Playboi Carti,MUSIC
MOJO JOJO,Playboi Carti & Kendrick Lamar,MUSIC
BACKD00R,Playboi Carti & Kendrick Lamar & Jhené Aiko,MUSIC
Hawk Em,Pop Smoke,Meet the Woo
Saturn,SZA,SOS Deluxe: LANA
30 For 30,SZA & Kendrick Lamar,SOS Deluxe: LANA
SICKO MODE,Travis Scott,Astroworld
Noid,Tyler The Creator,Chromakopia
NEW MAGIC WAND,Tyler The Creator,IGOR
née-nah,21 Savage & Travis Scott & Metro Boomin,american dream
a lot,21 Savage & J. Cole,i am > i was